,sample_20035,Sample_20139,sample_20185,Sample_20260,Sample_20464,sample_20476,Sample_20654,Sample_20655,Sample_20688,Sample_20736,sample_B10,Sample_B11,Sample_B12,Sample_B13,Sample_B14,sample_B15,Sample_B2,Sample_B3,Sample_B4,Sample_B5,sample_B6,Sample_B7,Sample_B8,Sample_B9,Sample_C1,sample_C10,Sample_C11,Sample_C12,Sample_C13,Sample_C14,Sample_C15,Sample_C2,Sample_C3,Sample_C4,Sample_C5,Sample_C6,Sample_C7,Sample_C8,Sample_C9
hsa-let-7a-5p,10.361009318702843,12.733468761167329,13.15250343050101,10.779054472444104,12.06050832673605,12.134762820423788,11.798656212950524,11.168953804367751,12.405617255197667,12.750061622547786,7.317895913671684,7.8619340095513035,7.445743741918784,8.71112759076591,8.598742295774132,6.619888958286758,10.425376031133906,10.669758508159585,10.361245033113319,7.012842103646261,8.189317191808017,9.784213314205152,9.806496080401201,8.38611002319877,9.732210732926296,11.125325101456077,9.053309079230067,10.580355732372267,11.1137136687946,9.081325907224075,9.947030866462793,8.177151461378225,11.905213846996917,12.459590827601064,11.424500446564437,10.76257649755364,10.544719314592564,11.253415603823969,0.0
hsa-let-7c-5p,5.43772993249384,6.003814669946131,6.311736570745262,5.9766115283022065,5.9415955532793685,6.074413076499968,5.374033832295693,0.0,7.696609746683078,7.781200202231029,0.0,1.3570422635016297,1.6161683013678283,0.0,3.2150749908749567,1.3946949813817064,5.437749115082413,3.722594990004936,4.03017407498898,0.6846569872580204,2.573239721233881,6.143209354801508,4.646552339518671,3.35772192051878,5.787250493825127,4.447528745967677,6.084499840672348,5.503056570852033,0.0,0.0,0.0,3.1027739732736292,5.612698833596282,0.0,0.0,0.0,0.0,6.551299082486939,0.0
hsa-let-7e-5p,5.278219937781228,8.564914119272373,9.406011898768849,6.561958514787986,9.306487864326918,8.08283670850092,7.51664457572903,8.33989656673447,9.191582532845956,7.876992330924929,0.0,3.4449453187468753,0.42681891601063743,3.355064738907729,0.0,0.6879552273543434,7.181600373637617,5.913197583251756,4.9118442475309765,3.7165954044233507,1.6149932267502034,5.510789432743661,5.3856598654934364,2.618135172918097,6.888591951924702,6.206864514515495,1.7248833423098484,5.380414783839757,0.0,0.0,0.0,4.970980577578278,6.59788108499562,0.0,0.0,0.0,8.133860991172098,0.0,0.0
hsa-let-7f-5p,11.488226025828526,14.128970508089301,14.428231533825413,11.789386435986856,13.496542485785323,13.224300748077432,13.168698984470536,11.545373201979341,12.814144267758717,13.21233721059112,7.574213298727726,7.740775266489,7.804570755412955,8.420367531816503,8.673841191806728,6.751156873132423,11.781177973902814,11.352892333661595,11.927963355321536,7.02634763772438,8.426658079965426,10.334002775436169,10.016952973111284,8.654326552754675,9.905350295912557,10.468326833720848,8.57521060612221,9.228183769251556,11.476139063473791,7.417273713598293,8.778931672798782,8.003114334614992,11.338354346744957,11.193305248822737,11.808521234251465,10.607392638892774,11.098999891821595,10.536805090471963,9.839066888202286
hsa-let-7g-5p,10.99561557107357,10.361630357506595,10.825778075600374,8.445705181685103,10.522731608421463,11.058176876797106,11.258271898075149,9.038622721958662,10.120963200088747,10.359029005056529,0.0,5.431725194966831,5.635570849798587,5.915300549874954,7.134250915490265,5.318325637744171,9.452609006538038,7.703350333833034,10.227555821305245,5.178895758525446,7.182004974547806,8.241792486418108,7.898165321772511,6.333838266898473,8.268074985315108,10.510117913602759,6.742202475839628,8.24823074239609,8.310259759027941,0.0,6.788751304293226,7.022830799687856,10.793176185738565,9.184282707000015,10.002171492909616,9.236891858097989,8.355519488961297,9.92963111398682,9.839066888202286
hsa-let-7i-5p,11.768289994839412,12.49972949589827,12.927762913637848,10.821540928308327,13.063739305323164,14.66646645215474,12.862575245102187,11.753707426171482,14.449522739656953,14.942661687836274,7.87886844997837,8.951239471069982,8.662991287656759,9.79328629604042,10.721616360618407,8.329905101926979,12.138781111697751,12.203845822415966,12.625244084522619,7.746692763640027,9.92985443960327,10.843168247461694,10.618770554039381,9.275665871877644,9.762549043213124,12.073666972876715,8.676237478492919,10.700574583434543,10.917888153679245,10.376727370239315,10.477095798939411,8.60037821499083,12.212570182139896,11.160404844060633,12.41196189807748,12.6148715233527,11.351660252939086,10.98280292153293,10.8382791011313
hsa-miR-100-5p,9.239333495408461,8.031075189639976,7.415393858469839,13.425254621203333,6.713561301062529,5.6826595858027,7.929711124643113,8.33989656673447,6.52455904606331,7.219142901938188,7.152988233767975,7.4370941742382115,6.949053796584764,6.623502032149866,9.442223121700307,3.768428275913049,10.631969072917022,7.186571219115838,10.824685527837824,9.318962500671493,10.617675578466706,10.822777900884187,10.630754951899355,6.586192063883458,6.513728487769165,6.715566488360522,7.258945133575928,7.144089691940731,9.138344933877818,7.763387268415891,7.782212315218072,7.476674073778829,5.612698833596282,7.844138463793997,10.186427242625156,8.610164268519412,8.717110422473674,4.289626403279165,9.839066888202286
hsa-miR-101-3p,10.450260605204711,9.90152749318832,10.680397587955833,9.97618896773324,10.935962516082101,11.006136017662596,10.98338853006287,8.147887437000765,9.884181502770339,10.931962936730846,7.348730411774721,7.406436620990254,8.331043587722563,8.224352964708565,8.157295966283993,6.937682407946347,10.760781264854488,9.350699711105445,11.55594072806752,6.877810472825353,9.11458527826295,9.944805771145258,9.830364525279117,8.61704292036401,8.986127364085835,9.873237481446111,7.258945133575928,8.157773343632057,9.30798545062155,8.996598413826675,9.947030866462793,6.936061172697298,9.170378132728263,8.784538119547344,10.827528758450168,10.433481793805688,11.098999891821595,9.785396912565409,9.839066888202286
hsa-miR-101-5p,10.448700363377666,9.903511234276703,10.655102059215865,9.97618896773324,10.917092622494451,10.983478051225736,10.98338853006287,8.147887437000765,9.869426944818242,10.915137165188645,7.348730411774721,7.4108563601301745,8.305368157576313,8.230701238800977,8.100356222555357,6.92564804567024,10.738819336476226,9.311660596201436,11.534104433626759,6.7855186535157115,9.103806166016552,9.94276436828565,9.799434833204153,8.594201307417329,8.986127364085835,9.816074853740222,7.258945133575928,8.157773343632057,9.30798545062155,8.996598413826675,10.236271719021287,6.936061172697298,9.170378132728263,8.784538119547344,10.827528758450168,10.433481793805688,11.098999891821595,9.785396912565409,9.839066888202286
hsa-miR-103a-2-5p,13.565845231490773,12.0649711393886,12.680991868879387,12.604678809147057,12.39393060542762,11.737349917301641,13.12034130411011,12.648544725190648,12.579401081723816,13.297899380381418,11.031505517768009,12.058043726203344,11.207461035448643,11.703555407200756,15.320636804165794,10.410970865401348,12.927634550088795,14.16608062016497,14.22340485217206,11.232048523818614,13.013512163120351,12.182360615753899,13.352830630282417,11.332885268194358,11.405275350158663,12.198734394681013,11.00993172372586,10.846711763004365,13.566354037382267,10.892650672817457,11.945934271649895,10.216998081477344,12.649223356305411,14.133254017256842,12.863454125678308,13.202471453251817,13.312079352766062,12.962279168839583,11.837885046222183
