,sample_20035,Sample_20139,sample_20185,Sample_20260,Sample_20464,sample_20476,Sample_20654,Sample_20655,Sample_20688,Sample_20736,sample_B10,Sample_B11,Sample_B12,Sample_B13,Sample_B14,sample_B15,Sample_B2,Sample_B3,Sample_B4,Sample_B5,sample_B6,Sample_B7,Sample_B8,Sample_B9,Sample_C1,sample_C10,Sample_C11,Sample_C12,Sample_C13,Sample_C14,Sample_C15,Sample_C2,Sample_C3,Sample_C4,Sample_C5,Sample_C6,Sample_C7,Sample_C8,Sample_C9
hsa-let-7a-5p,1738,5174,6384,1672,4026,3928,176,114,9591,4561,46,445,1007,317,280,478,1363,934,3342,211,1410,1264,2455,649,94,429,230,414,63,35,9,114,80,320,59,49,32,263,0
hsa-let-7c-5p,56,48,55,59,57,58,2,0,365,145,0,3,12,0,6,8,42,7,39,1,24,100,66,18,6,4,29,12,0,0,0,3,1,0,0,0,0,10,0
hsa-let-7e-5p,50,287,475,89,596,236,9,16,1032,155,0,19,2,7,0,3,143,34,74,20,10,64,112,10,13,14,1,11,0,0,0,12,2,0,0,0,6,0,0
hsa-let-7f-5p,3798,13613,15458,3369,10895,8360,455,148,12731,6284,55,409,1293,259,295,524,3490,1500,9905,213,1663,1851,2841,782,106,272,165,162,81,11,4,101,54,133,77,44,47,160,1
hsa-let-7g-5p,2699,999,1272,331,1386,1862,121,26,1967,869,0,81,283,45,101,191,694,119,3046,58,699,433,652,155,34,280,46,82,9,0,1,51,37,33,22,17,7,105,1
hsa-let-7i-5p,4612,4400,5463,1722,8071,22718,368,171,39555,20852,68,949,2349,672,1222,1575,4472,2706,16062,352,4723,2635,4313,1204,96,828,177,450,55,86,13,153,99,130,117,177,56,218,2
hsa-miR-100-5p,798,198,119,10472,98,44,12,16,161,98,41,331,712,74,503,62,1573,83,4609,1050,7611,2598,4349,185,10,20,66,38,16,14,2,70,1,13,25,11,9,2,1
hsa-miR-101-3p,1849,726,1150,958,1846,1796,100,14,1669,1293,47,324,1865,226,206,597,1720,374,7653,192,2682,1413,2496,762,56,180,66,77,18,33,9,48,12,25,39,39,47,95,1
hsa-miR-101-5p,1847,727,1130,958,1822,1768,100,14,1652,1278,47,325,1832,227,198,592,1694,364,7538,180,2662,1411,2443,750,56,173,66,77,18,33,11,48,12,25,39,39,47,95,1
hsa-miR-103a-2-5p,16036,3255,4604,5929,5073,2982,440,318,10819,6668,607,8190,13732,2528,29632,6680,7727,10546,48634,3959,40076,6669,28711,5017,300,903,894,498,345,123,36,470,134,1021,160,266,218,860,4
hsa-miR-103a-3p,16036,3252,4594,5929,5073,2981,440,318,10819,6664,607,8186,13732,2528,29634,6680,7727,10546,48634,3959,40076,6669,28711,5017,300,903,894,498,345,123,36,470,134,1021,160,266,218,860,4
hsa-miR-106a-5p,26,6,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-106b-5p,198,146,98,154,381,560,22,8,607,264,131,434,1711,271,424,418,612,520,2357,158,1700,832,1038,451,15,42,29,33,1,0,10,16,2,8,6,3,7,33,0
hsa-miR-107,15957,1201,2604,5639,3743,2732,433,310,10456,6268,607,8150,13610,2509,29574,6654,7524,10465,48406,3929,39980,6510,28518,4954,300,894,869,484,345,109,36,470,134,1017,154,266,212,860,4
hsa-miR-10a-5p,27343,8078,9748,11958,7881,2758,162,156,13076,1545,349,3066,6256,1580,6446,848,19279,10381,19019,1394,12395,19274,26491,2862,198,309,424,160,138,139,27,334,95,313,236,178,88,200,10
hsa-miR-10b-5p,10314,12832,14387,21541,7373,794,422,571,6452,1540,979,9181,20422,6725,7254,1790,35319,61953,38660,2384,31641,47139,81813,10866,225,404,1116,183,112,132,21,585,144,336,299,212,256,228,12
hsa-miR-1180-5p,14,0,0,17,0,1,0,0,29,5,0,37,85,16,32,17,8,0,45,21,76,23,41,3,2,2,6,1,0,10,0,9,0,0,0,0,0,0,0
hsa-miR-1185-5p,0,5,8,0,7,0,0,0,0,0,0,0,0,0,0,0,10,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1197,0,0,0,0,5,1,0,0,4,1,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-122-5p,50,6,3,310,6,5,0,0,83,21,0,33,19,19,18,0,49,4,103,53,245,198,118,1,21,51,35,396,0,2,0,56,13,106,5,11,2,0,0
hsa-miR-1228-5p,3,0,0,2,0,2,0,0,12,3,1,0,0,0,0,1,0,0,0,0,0,0,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hsa-miR-1229-3p,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1229-5p,0,0,0,11,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1238-5p,0,5,0,0,0,0,0,0,6,0,0,0,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-124-5p,0,0,5,9,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1247-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1247-5p,0,0,3,11,0,0,8,0,0,0,0,10,6,0,0,0,1,10,0,6,5,3,5,0,0,4,0,2,0,0,0,4,0,0,0,0,0,0,0
hsa-miR-1254,0,1,5,0,0,0,0,0,0,0,0,4,0,3,0,0,12,0,13,0,16,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1255a,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-125a-5p,2061,1469,1725,1258,837,307,11,4,1387,98,87,543,805,166,158,131,2631,153,1736,892,2608,3240,2548,869,92,117,220,79,7,37,6,227,8,14,30,37,1,57,6
hsa-miR-125b-2-3p,0,0,0,0,96,0,0,6,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,30,0,9,0,0,6,0,0,0,0,0,0,0,0,0,0
hsa-miR-125b-5p,884,91,91,1850,220,50,8,7,492,51,24,201,385,63,259,44,669,65,1404,837,3950,1572,1496,83,25,11,89,69,10,8,9,174,5,17,11,14,0,18,0
hsa-miR-126-5p,20244,17744,14133,16065,21170,13628,194,181,40658,20779,72,644,2514,484,321,429,14735,536,18127,431,3598,8048,11672,2857,238,364,369,339,63,73,32,142,40,152,241,185,113,100,8
hsa-miR-1260a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
hsa-miR-1260b,0,62,0,0,0,0,0,0,94,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1262,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1266-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-127-5p,414,978,1851,571,2106,1604,0,25,5395,1802,291,270,306,104,642,104,3062,52,443,112,337,886,347,581,8,7,6,58,0,10,0,33,0,13,5,10,2,3,1
hsa-miR-1270,7,6,5,0,0,2,0,0,13,2,0,1,0,1,7,7,4,12,17,5,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1271-5p,6,4,9,4,16,7,0,0,30,16,0,0,0,0,0,0,49,0,46,0,18,11,3,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
hsa-miR-1273c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1273h-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1275,9,0,0,0,0,0,0,0,3,0,7,4,0,0,0,0,0,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1276,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1278,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-128-1-5p,994,420,526,811,733,415,35,5,934,359,27,245,991,116,269,163,905,322,2238,172,1665,663,1096,377,12,49,34,28,7,0,0,14,2,30,14,9,15,25,1
hsa-miR-128-2-5p,969,329,471,805,644,341,35,5,787,292,26,228,940,116,263,140,834,284,2181,169,1648,636,1072,349,12,49,19,24,7,0,0,9,2,30,14,9,15,25,1
hsa-miR-1283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1284,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1287-5p,8,0,0,4,15,16,0,0,42,14,4,4,14,0,0,1,4,0,21,23,29,17,25,13,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0
