SystematicName,DENV_WS_01,DENV_WS_03,DENV_WS_04,DENV_WO_30,DENV_WO_48,DENV_WO_55
hsa-let-7a-3p,0.1,0.1,0.1,0.1,0.1,0.1
hsa-let-7a-5p,7.04032,0.1,0.1,0.1,0.1,0.1
hsa-let-7b-3p,0.1,0.1,0.1,0.1,0.1,0.1
hsa-let-7b-5p,222.652,26.137,34.6502,0.1,4.59814,16.3071
hsa-let-7c-3p,0.1,0.1,0.1,0.1,0.1,0.1
hsa-let-7c-5p,9.87588,0.1,0.1,0.1,0.1,0.1
hsa-let-7d-3p,2.03913,0.1,0.1,0.1,0.1,0.1
hsa-let-7d-5p,4.33078,0.1,0.1,0.1,0.1,0.1
hsa-let-7e-3p,0.1,0.1,0.1,0.1,0.1,0.1
hsa-let-7e-5p,0.1,0.1,0.1,0.1,0.1,0.1
hsa-let-7f-1-3p,0.1,0.1,0.1,0.1,0.1,0.1
hsa-let-7f-2-3p,0.1,0.1,0.1,0.1,0.1,0.1
hsa-let-7f-5p,3.76221,0.1,0.1,0.1,0.1,0.1
hsa-let-7g-3p,0.1,0.1,0.1,0.1,0.1,0.1
hsa-let-7g-5p,10.2153,0.1,0.1,0.1,0.1,0.1
hsa-let-7i-3p,0.1,0.1,0.1,0.1,0.1,0.1
hsa-let-7i-5p,43.3023,11.8078,10.1603,0.1,0.1,3.82844
hsa-miR-1-3p,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1-5p,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-100-3p,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-100-5p,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-101-3p,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-101-5p,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-103a-2-5p,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-103a-3p,6.01571,0.1,0.1,0.1,0.1,0.1
hsa-miR-103b,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-105-3p,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-105-5p,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-106a-3p,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-106b-3p,0.1,0.1,0.1,0.1,0.1,0.1
