dataset,comparison,miRNA,n_group_a,n_group_b,group_a_label,group_b_label,mean_group_a_log2,mean_group_b_log2,sd_group_a_log2,sd_group_b_log2,log2FC_groupA_minus_groupB,fold_change_groupA_over_groupB,se_log2FC,welch_t,p_welch,q_bh_welch,p_mann_whitney,auc_groupA_high,auc_bootstrap_ci95_low,auc_bootstrap_ci95_high
GSE190749,SD_vs_NonSevere,hsa-miR-30d-5p,8.0,11.0,Severe dengue,Non-severe dengue,6.437938279066103,3.656258219395255,,,2.7816800596708475,6.876526742815809,,4.040830457818415,0.0008495496015573,0.3812406226987139,0.0007938398031277,0.9318181818181818,,
GSE190749,SD_vs_NonSevere,hsa-miR-640,8.0,11.0,Severe dengue,Non-severe dengue,1.570830394068342,3.721668124488102,,,-2.15083773041976,0.2251818212462589,,-4.329693044075832,0.001204332140655,0.3812406226987139,0.0011907597046915,0.0795454545454545,,
GSE190749,SD_vs_NonSevere,hsa-miR-424-5p,8.0,11.0,Severe dengue,Non-severe dengue,3.0140768781088947,1.2339590769242217,,,1.7801178011846732,3.434542176894116,,3.864054312494444,0.0014332354236793,0.3812406226987139,0.0092636339319006,0.8636363636363636,,
GSE190749,SD_vs_NonSevere,hsa-miR-513a-3p,8.0,11.0,Severe dengue,Non-severe dengue,0.3758826401278176,2.156281027020951,,,-1.7803983868931337,0.2911030001159617,,-3.411942833425701,0.0051638788404321,0.8384978063372494,0.0412504612930199,0.2159090909090909,,
GSE190749,SD_vs_NonSevere,hsa-miR-140-5p,8.0,11.0,Severe dengue,Non-severe dengue,3.139360461517993,1.50938597288609,,,1.6299744886319036,3.095075255973884,,3.156128773537131,0.0063078127275628,0.8384978063372494,0.0231025596205571,0.8181818181818182,,
GSE190749,SD_vs_NonSevere,hsa-miR-193a-5p+hsa-miR-193b-5p,8.0,11.0,Severe dengue,Non-severe dengue,4.387348915600473,1.854328411972564,,,2.5330205036279088,5.787821799605498,,3.108274852057288,0.007198003660151,0.8384978063372494,0.0092636339319006,0.8636363636363636,,
GSE190749,SD_vs_NonSevere,hsa-miR-30a-5p,8.0,11.0,Severe dengue,Non-severe dengue,5.809808881890335,3.549312454624159,,,2.2604964272661765,4.791563298163255,,3.022849759151943,0.0082577046447919,0.8384978063372494,0.0091026964091979,0.8522727272727273,,
GSE190749,SD_vs_NonSevere,hsa-miR-665,8.0,11.0,Severe dengue,Non-severe dengue,2.194145455451983,0.8885172426397198,,,1.3056282128122634,2.471913419654192,,3.121637641542713,0.0085716712298385,0.8384978063372494,0.0068005609801275,0.8636363636363636,,
GSE190749,SD_vs_NonSevere,hsa-miR-30e-5p,8.0,11.0,Severe dengue,Non-severe dengue,7.254595456934281,5.926510647561221,,,1.3280848093730595,2.510691570179793,,3.305888750075616,0.0094567421767358,0.8384978063372494,0.0017729088936519,0.9090909090909092,,
GSE190749,SD_vs_NonSevere,hsa-miR-128-1-5p,8.0,11.0,Severe dengue,Non-severe dengue,3.1839281017568464,5.338476939532336,,,-2.154548837775489,0.224603320599665,,-3.057882127435352,0.0143697951295915,0.9413072241304024,0.0025402873700087,0.1022727272727272,,
GSE190749,SD_vs_NonSevere,hsa-miR-3161,8.0,11.0,Severe dengue,Non-severe dengue,1.3274263557338482,2.6708062637600247,,,-1.3433799080261766,0.3940962951274365,,-2.619751984891326,0.0179321247446676,0.9413072241304024,0.0285876951230989,0.1931818181818181,,
GSE190749,SD_vs_NonSevere,hsa-let-7i-5p,8.0,11.0,Severe dengue,Non-severe dengue,3.118487377257024,7.575686643935939,,,-4.457199266678916,0.0455249339194232,,-2.6290255139401584,0.020593710744019,0.9413072241304024,0.0285876951230989,0.1931818181818181,,
GSE190749,SD_vs_NonSevere,hsa-miR-502-5p,8.0,11.0,Severe dengue,Non-severe dengue,2.348838580058888,4.619319787666253,,,-2.2704812076073653,0.207260743579472,,-2.686810135718072,0.023143199424637,0.9413072241304024,0.0351594407030455,0.2045454545454545,,
GSE190749,SD_vs_NonSevere,hsa-miR-1305,8.0,11.0,Severe dengue,Non-severe dengue,6.646937188326548,5.30416055952858,,,1.342776628797968,2.536390061210542,,2.570803213799693,0.0234086007139125,0.9413072241304024,0.0068005609801275,0.8636363636363636,,
GSE190749,SD_vs_NonSevere,hsa-miR-3136-5p,8.0,11.0,Severe dengue,Non-severe dengue,2.2907086925609192,3.989971324321356,,,-1.6992626317604365,0.3079434544732808,,-2.4890854921359438,0.0253050686525084,0.9413072241304024,0.0157444894286999,0.1704545454545454,,
GSE190749,SD_vs_NonSevere,hsa-miR-24-3p,8.0,11.0,Severe dengue,Non-severe dengue,2.022782864199145,0.5472089762766158,,,1.4755738879225295,2.7809424474377504,,2.655231987689654,0.0260467412050382,0.9413072241304024,0.0101060193863036,0.8579545454545454,,
GSE190749,SD_vs_NonSevere,hsa-miR-196a-3p,8.0,11.0,Severe dengue,Non-severe dengue,1.5372005446079702,3.306101465775692,,,-1.7689009211677216,0.2934321956904236,,-2.5111950154659066,0.0272531735311478,0.9413072241304024,0.0185554862355245,0.1704545454545454,,
GSE190749,SD_vs_NonSevere,hsa-miR-874-5p,8.0,11.0,Severe dengue,Non-severe dengue,1.9973450470332497,3.5827802528519275,,,-1.5854352058186776,0.3332241331557312,,-2.5828206483195366,0.0275113794514626,0.9413072241304024,0.0259321002355058,0.1931818181818181,,
GSE190749,SD_vs_NonSevere,hsa-miR-378g,8.0,11.0,Severe dengue,Non-severe dengue,4.025311232872463,2.336115003182396,,,1.6891962296900669,3.224769916630404,,2.467848280498344,0.0279988307741242,0.9413072241304024,0.0259321002355058,0.8068181818181818,,
GSE190749,SD_vs_NonSevere,hsa-miR-574-5p,8.0,11.0,Severe dengue,Non-severe dengue,9.579822972850868,7.334707944851115,,,2.245115027999751,4.740749054943004,,2.457470058394046,0.0295922960121039,0.9413072241304024,0.040882749861078,0.7840909090909091,,
GSE190749,SD_vs_NonSevere,hsa-miR-625-5p,8.0,11.0,Severe dengue,Non-severe dengue,0.937621476642332,2.020645052286813,,,-1.0830235756444813,0.4720384957462347,,-2.3856179516939027,0.0298664460617018,0.9413072241304024,0.0229220098075337,0.1818181818181818,,
GSE190749,SD_vs_NonSevere,hsa-miR-18a-5p,8.0,11.0,Severe dengue,Non-severe dengue,0.7705268099100906,2.121010322319272,,,-1.3504835124091816,0.3921605961555041,,-2.408030298169643,0.0300165915613198,0.9413072241304024,0.1466699764691906,0.2954545454545454,,
GSE190749,SD_vs_NonSevere,hsa-miR-122-5p,8.0,11.0,Severe dengue,Non-severe dengue,7.9621180519855645,5.766768131928444,,,2.1953499200571205,4.580007370618255,,2.4325407364819918,0.0317406647256867,0.9413072241304024,0.0327591225424042,0.7954545454545454,,
GSE190749,SD_vs_NonSevere,hsa-miR-320d,8.0,11.0,Severe dengue,Non-severe dengue,2.700530086611604,0.879235636089115,,,1.8212944505224888,3.5339814092709703,,2.536677007411742,0.0321724652616996,0.9413072241304024,0.0349189558702637,0.7954545454545454,,
