miRNA,dataset,study_label,comparison,n_group_a,n_group_b,log2FC,se_log2FC,hedges_g,se_hedges_g
hsa-miR-574-5p,GSE190749,Thailand serum NanoString,Severe vs Non-severe,8,11,2.245115027999751,0.9135879480325924,1.1438951146847751,0.5043751266290033
hsa-miR-574-5p,GSE150623,India plasma small-RNA-seq,Severe vs Non-severe,16,23,-1.1678858584640812,0.7977327988646807,-0.46565893313708767,0.33001288972283926
hsa-miR-574-5p,GSE169170,India serum Agilent array,Severe-spectrum vs DF,5,3,0.2660735972761801,0.44721570511087366,0.3100064494316784,0.7357594714923958
hsa-miR-1246,GSE190749,Thailand serum NanoString,Severe vs Non-severe,8,11,1.667539863881034,0.7967356927257588,1.0544250093171326,0.4986075077648611
hsa-miR-1246,GSE150623,India plasma small-RNA-seq,Severe vs Non-severe,16,23,-0.48658736978432005,0.48658736978432005,-0.2648931702189634,0.32699615040250934
hsa-miR-1246,GSE169170,India serum Agilent array,Severe-spectrum vs DF,5,3,0.5209168142486615,0.7413013809633388,0.4714034250561294,0.7428672598539308
hsa-miR-122-5p,GSE190749,Thailand serum NanoString,Severe vs Non-severe,8,11,2.1953499200571205,0.9024925614327418,1.1421238837280578,0.504257055615462
hsa-miR-122-5p,GSE150623,India plasma small-RNA-seq,Severe vs Non-severe,16,23,1.6187769307500601,1.1278953291679201,0.504158128262297,0.3307764559630414
hsa-miR-122-5p,GSE169170,India serum Agilent array,Severe-spectrum vs DF,5,3,0.0,0.0,,
hsa-miR-1303,GSE190749,Thailand serum NanoString,Severe vs Non-severe,8,11,1.7585510835077853,0.9915122716434946,0.8594626787414951,0.48747805944770467
hsa-miR-1303,GSE169170,India serum Agilent array,Severe-spectrum vs DF,5,3,0.0,0.0,,
hsa-miR-30d-5p,GSE190749,Thailand serum NanoString,Severe vs Non-severe,8,11,2.7816800596708475,0.6883931629174652,1.6928434791967968,0.5479004883877504
hsa-miR-30d-5p,GSE150623,India plasma small-RNA-seq,Severe vs Non-severe,16,23,-1.0887918790971192,0.35422781525942815,-0.894761100214424,0.3417559728971464
hsa-miR-30d-5p,GSE169170,India serum Agilent array,Severe-spectrum vs DF,5,3,0.5375312097955426,0.5375312097955425,0.476280484787101,0.7431264529107768
hsa-miR-424-5p,GSE190749,Thailand serum NanoString,Severe vs Non-severe,8,11,1.7801178011846732,0.46068653730581655,1.5553487737261433,0.5357792263401615
hsa-miR-424-5p,GSE150623,India plasma small-RNA-seq,Severe vs Non-severe,16,23,-2.5144508667078593,1.0531708599687253,-0.7439658442597458,0.3368349600237911
hsa-miR-424-5p,GSE169170,India serum Agilent array,Severe-spectrum vs DF,5,3,0.0,0.0,,
hsa-miR-320a,GSE150623,India plasma small-RNA-seq,Severe vs Non-severe,16,23,1.035641115080459,0.4415663091249285,0.7724281990619268,0.33769962318712776
hsa-miR-320a,GSE169170,India serum Agilent array,Severe-spectrum vs DF,5,3,-1.1185814157133116,0.8102586083829084,-0.7434494972858319,0.7611787544665267
hsa-miR-486-5p,GSE150623,India plasma small-RNA-seq,Severe vs Non-severe,16,23,0.1359729923107622,0.16910846989321252,0.2430347052670706,0.326766657225745
hsa-miR-486-5p,GSE169170,India serum Agilent array,Severe-spectrum vs DF,5,3,-0.9662353373014341,0.7822082450118818,-0.6452144775279858,0.753674428052973
hsa-miR-146a-5p,GSE150623,India plasma small-RNA-seq,Severe vs Non-severe,16,23,-0.9775925417084377,0.9895909175595117,-0.3173898129047583,0.3276271694027507
hsa-miR-146a-5p,GSE169170,India serum Agilent array,Severe-spectrum vs DF,5,3,0.0,0.0,,
hsa-miR-126-5p,GSE150623,India plasma small-RNA-seq,Severe vs Non-severe,16,23,-0.3483353080644118,0.6498555977371364,-0.15248980691870462,0.32602529427575655
hsa-miR-126-5p,GSE169170,India serum Agilent array,Severe-spectrum vs DF,5,3,0.0,0.0,,
