dataset,comparison,miRNA,n_group_a,n_group_b,group_a_label,group_b_label,mean_group_a_log2,mean_group_b_log2,sd_group_a_log2,sd_group_b_log2,log2FC_groupA_minus_groupB,fold_change_groupA_over_groupB,se_log2FC,welch_t,p_welch,q_bh_welch,p_mann_whitney,auc_groupA_high,auc_bootstrap_ci95_low,auc_bootstrap_ci95_high,is_primary_target,is_limothai_candidate
GSE150623,DWS_vs_DI,hsa-miR-122-5p,14.0,9.0,Dengue with warning signs,Dengue infection,3.8297797238638713,3.936416576876437,2.3081625356870634,2.403086747318208,-0.10663685301256587,0.9287506027038919,1.0110347184163773,-0.10547298828629277,0.9172577359942085,0.942790030908937,0.874739657981362,0.5238095238095238,,,False,True
GSE150623,DWS_vs_DI,hsa-miR-1246,14.0,9.0,Dengue with warning signs,Dengue infection,0.7993935360742401,0.0,2.9910567291915218,0.0,0.7993935360742401,1.7403693758835344,0.7993935360742401,1.0,0.3355612778654223,0.5062922881274423,0.4760334929424296,0.5357142857142857,,,True,True
GSE150623,DWS_vs_DI,hsa-miR-126-5p,14.0,9.0,Dengue with warning signs,Dengue infection,9.916316050166586,14.044600207431454,2.146637744532287,0.8915507909120457,-4.1282841572648685,0.05718243408601761,0.6461151418046125,-6.389393917830943,4.254336627181025e-06,0.0002908419221491028,0.00022856474472262122,0.031746031746031744,,,False,False
GSE150623,DWS_vs_DI,hsa-miR-146a-5p,14.0,9.0,Dengue with warning signs,Dengue infection,6.730925497705175,10.106466127099692,3.036043320616363,1.194652218084791,-3.375540629394517,0.09635206326016349,0.9038662384901848,-3.7345577095931906,0.0014825380639404244,0.02372060902304679,0.006139388143840499,0.15079365079365079,,,False,False
GSE150623,DWS_vs_DI,hsa-miR-30d-5p,14.0,9.0,Dengue with warning signs,Dengue infection,11.734229372978561,13.310865737412861,1.2993684221423252,0.9458052633035023,-1.5766363644343002,0.33526264118971877,0.4690321934786383,-3.3614672646262753,0.003017413300599803,0.042813109472661356,0.008942245903147579,0.16666666666666666,,,False,True
GSE150623,DWS_vs_DI,hsa-miR-320a,14.0,9.0,Dengue with warning signs,Dengue infection,12.051304107595746,13.024640736443175,1.2730244127919996,0.8759247176285602,-0.973336628847429,0.5093267415343107,0.448336767144021,-2.170994440290373,0.04163516597114944,0.24134237846708498,0.047220904003577174,0.24603174603174602,,,False,False
GSE150623,DWS_vs_DI,hsa-miR-424-5p,14.0,9.0,Dengue with warning signs,Dengue infection,7.1223433970124645,2.7021977621870126,1.2943030939909992,4.127916392269127,4.420145634825452,21.40900192850197,1.4187874793984687,3.115438851137512,0.01237491206396844,0.11348699844029593,0.03890010631833078,0.7619047619047619,,,False,True
GSE150623,DWS_vs_DI,hsa-miR-486-5p,14.0,9.0,Dengue with warning signs,Dengue infection,19.175500729176974,18.25037767014829,0.4130617921588285,0.38381869831869503,0.9251230590286852,1.8988462028125273,0.16898425543687595,5.474610972702512,3.264302751642931e-05,0.0015342222932721778,0.0007511822006716851,0.9285714285714286,,,False,False
GSE150623,DWS_vs_DI,hsa-miR-574-5p,14.0,9.0,Dengue with warning signs,Dengue infection,1.731101439593696,2.537824246444014,2.115151823966388,3.0121046709314703,-0.8067228068503183,0.5716789970714042,1.1522360897675537,-0.70013672893466,0.4961182835776153,0.6421358851125072,0.3845831584450561,0.3968253968253968,,,True,True
GSE150623,SD_vs_DI,hsa-miR-122-5p,16.0,9.0,Severe dengue,Dengue infection,5.4902841188362395,3.936416576876437,4.0867546014063265,2.403086747318208,1.5538675419598023,2.936031694058478,1.298266159984647,1.1968790297809024,0.2436026110392001,0.3977302540346459,0.27881856572687314,0.6354166666666666,,,False,True
